Name,Sweetness,Sourness,Spiciness,Fried,Soup,Grilled,Baked,Vegetarian,Umami,Richness,Vegetableness
Pancakes,0.6,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.2,0.5,0.2
Tom Yum Soup,-1.0,0.6,0.2,-1.0,1.0,-1.0,-1.0,-1.0,0.6,0.3,0.1
Sushi,-1.0,-0.6,-0.4,-1.0,-1.0,1.0,-1.0,-1.0,0.8,0.4,-0.5
Falafel,-0.8,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,1.0,0.2,0.4,0.8
Chicken Tikka Masala,-0.6,-1.0,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.7,-1.0
Pizza,-0.1,-0.4,0.2,-0.2,-0.5,-0.4,0.8,0.6,0.5,0.6,0.4
Mushroom Risotto,-0.2,-0.3,0.0,-0.1,-0.4,0.0,0.6,0.7,0.8,0.8,0.6
Grilled Cheese,-0.6,-1.0,-0.4,-0.1,-1.0,-1.0,1.0,1.0,0.8,0.8,-0.2
Caesar Salad,-0.3,-0.6,-0.2,-1.0,-1.0,-0.4,0.6,0.5,0.4,0.6,0.3
Chicken Wings,0.1,-1.0,0.7,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,-0.3
Pasta Primavera,-0.3,-0.2,0.1,-0.1,-0.6,0.2,0.5,0.8,0.4,0.5,0.7
Potato Salad,-0.6,-0.6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.4,0.3
Shakshuka,-0.3,-0.1,0.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,0.8
Pita Bread,-1.0,-0.6,-0.6,-1.0,-1.0,-1.0,0.6,-1.0,0.2,0.3,0.4
Chicken Curry,-0.5,-0.6,0.6,-1.0,-1.0,-1.0,-1.0,-1.0,0.8,0.7,0.5
Fish Tacos,-0.8,-0.6,0.4,0.6,-1.0,-1.0,-1.0,-1.0,0.5,0.7,0.6
Corn on the Cob,-0.5,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.4,0.4
Pancetta,-1.0,-1.0,0.4,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.8,-1.0
Charcuterie Board,-0.6,-1.0,-0.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.5,0.7,-0.8
Crab Cakes,-0.6,-1.0,-0.4,1.0,-1.0,-1.0,-1.0,-1.0,0.6,0.7,-0.6
Marinated Olives,-1.0,-0.4,-0.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.3,0.4,-0.7
Pulled Pork Sandwich,-0.8,-0.6,0.4,1.0,-1.0,1.0,-1.0,-1.0,0.6,0.7,-0.4
Eggplant Rollatini,-0.5,-0.6,-0.4,-1.0,-1.0,-1.0,-1.0,0.6,0.5,0.6,0.5
